State,Pete,Robert,Jim,Angela,Nellie,Jan,Andy,Holly,Pam,Oscar,Jo,Phyllis,Meredith,Michael,Ryan,David,Darryl,Deangelo,Kelly,Gabe,Dwight,Clark,Creed,Charles,Toby,Erin,Roy,Karen,Stanley,Kevin
Season 2 Episode 19,0,0,22,12,0,5,0,0,26,7,0,2,1,87,3,0,0,0,4,0,43,0,0,0,8,0,0,0,3,14
Season 2 Episode 20,0,0,20,7,0,0,0,0,15,6,0,3,0,50,7,0,0,0,5,0,71,0,1,0,5,0,0,0,6,6
Season 2 Episode 21,0,0,28,12,0,0,0,0,24,9,0,12,0,88,4,0,0,0,2,0,33,0,3,0,22,0,0,0,4,3
Season 2 Episode 22,0,0,52,5,0,40,0,0,44,4,0,7,1,94,1,0,8,0,1,0,31,0,4,0,4,0,11,0,1,16
Season 3 Episode 1,0,0,11,4,0,7,5,0,6,16,0,3,0,51,1,0,0,0,1,0,18,0,1,0,9,0,4,1,1,1
Season 3 Episode 2,0,0,32,9,0,12,0,0,30,0,0,2,1,108,3,0,0,0,8,0,37,0,2,0,6,0,0,0,1,3
Season 3 Episode 3,0,0,12,12,0,25,10,0,17,0,0,5,0,73,0,0,0,0,8,0,71,0,2,0,0,0,2,8,2,4
Season 3 Episode 4,0,0,15,6,0,12,4,0,25,0,0,3,1,83,6,0,0,0,5,0,36,0,6,0,3,0,5,15,5,2
Season 3 Episode 5,0,0,45,4,0,7,5,0,52,0,0,2,0,33,36,0,0,0,6,0,45,0,0,0,1,0,0,10,6,3
Season 3 Episode 6,0,0,19,10,0,0,14,0,23,0,0,2,2,56,7,0,0,0,15,0,6,0,1,0,2,0,1,14,1,6
Season 3 Episode 7,0,0,21,7,0,32,5,0,22,0,0,8,0,69,7,0,4,0,2,0,40,0,0,0,2,0,4,9,1,12
Season 3 Episode 8,0,0,66,4,0,6,41,0,36,0,0,8,2,125,9,0,0,0,6,0,73,0,2,0,16,0,0,26,4,7
Season 3 Episode 9,0,0,31,10,0,7,17,0,16,0,0,1,1,54,3,0,0,0,0,0,4,0,2,0,4,0,0,10,2,13
Season 3 Episode 10,0,0,44,37,0,0,28,0,57,1,0,12,3,108,8,0,3,0,5,0,61,0,3,0,8,0,6,34,3,14
Season 3 Episode 11,0,0,25,4,0,12,3,0,33,0,0,2,0,70,0,0,6,0,0,0,22,0,0,0,7,0,5,9,4,5
Season 3 Episode 12,0,0,39,17,0,1,29,0,26,0,0,10,0,48,8,0,0,0,2,0,33,0,0,0,0,0,0,16,8,7
Season 3 Episode 13,0,0,25,14,0,0,40,0,10,11,0,3,2,48,3,0,0,0,0,0,25,0,3,0,0,0,0,4,2,3
Season 3 Episode 14,0,0,25,5,0,6,0,0,30,0,0,0,2,77,6,0,0,0,3,0,29,0,0,0,0,0,1,15,1,3
Season 3 Episode 15,0,0,19,3,0,0,0,0,15,0,0,15,1,49,0,0,0,0,6,0,25,0,0,0,2,0,9,4,2,4
Season 3 Episode 16,0,0,11,2,0,0,0,0,26,4,0,0,3,45,15,0,0,0,9,0,22,0,5,0,3,0,8,5,1,6
Season 3 Episode 17,0,0,21,1,0,46,0,0,22,0,0,0,0,84,3,8,0,0,1,0,32,0,2,0,3,0,22,12,0,8
Season 3 Episode 18,0,0,41,11,0,30,2,0,16,4,0,4,0,106,9,0,43,0,14,0,18,0,3,0,17,0,8,16,4,8
Season 3 Episode 19,0,0,24,1,0,0,18,0,19,3,0,0,0,78,5,0,30,0,6,0,55,0,3,0,8,0,0,4,2,16
Season 3 Episode 20,0,0,46,12,0,0,34,0,14,6,0,1,0,53,2,0,0,0,10,0,31,0,8,0,0,0,0,4,1,8
Season 3 Episode 21,0,0,31,11,0,11,10,0,35,0,0,12,5,80,5,0,0,0,4,0,42,0,6,0,7,0,0,15,0,11
Season 3 Episode 22,0,0,22,8,0,0,18,0,23,5,0,1,2,105,3,9,0,0,9,0,38,0,2,0,4,0,0,9,12,5
Season 3 Episode 23,0,0,65,6,0,43,22,0,46,11,0,4,6,118,4,45,0,0,3,0,60,0,3,0,0,0,0,40,7,17
Season 4 Episode 1,0,0,50,48,0,7,7,0,80,9,0,4,18,130,8,0,5,0,6,0,54,0,9,0,9,0,0,0,9,18
Season 4 Episode 2,0,0,41,23,0,16,14,0,50,3,0,13,0,139,78,0,0,0,20,0,67,0,10,0,18,0,0,0,5,13
Season 4 Episode 3,0,0,67,49,0,6,45,0,24,8,0,9,12,147,7,0,9,0,8,0,83,0,0,0,0,0,0,0,7,14
Season 4 Episode 4,0,0,41,4,0,31,11,0,50,25,0,2,1,136,21,0,10,0,13,0,39,0,7,0,2,0,0,0,7,10
Season 4 Episode 5,0,0,28,2,0,0,21,0,18,1,0,7,3,61,8,3,10,0,0,0,10,0,2,0,0,0,0,0,1,3
Season 4 Episode 6,0,0,69,0,0,0,8,0,18,10,0,2,0,82,0,0,0,0,0,0,38,0,0,0,7,0,0,25,10,2
Season 4 Episode 7,0,0,68,7,0,0,7,0,11,7,0,4,5,64,0,0,0,0,1,0,25,0,12,0,16,0,0,0,2,2
Season 4 Episode 8,0,0,14,0,0,28,0,0,21,1,0,0,1,79,10,4,3,0,15,0,5,0,0,0,4,0,0,0,0,4
Season 4 Episode 9,0,0,38,12,0,73,10,0,28,0,0,1,0,89,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0
Season 4 Episode 10,0,0,21,1,0,1,14,0,35,2,0,9,0,72,0,0,0,0,0,0,17,0,3,0,0,0,0,0,1,20
Season 4 Episode 11,0,0,37,4,0,0,4,0,13,7,0,3,1,87,60,0,0,0,3,0,42,0,2,0,8,0,0,0,4,3
Season 4 Episode 12,0,0,23,3,0,0,23,0,16,2,0,7,0,87,6,0,13,0,1,0,32,0,1,0,10,0,0,0,23,8
Season 4 Episode 13,0,0,19,4,0,0,13,0,33,5,0,2,1,45,0,0,6,0,1,0,10,0,4,0,0,0,0,0,0,7
Season 4 Episode 14,0,0,59,14,0,24,7,68,42,1,0,16,4,159,5,0,2,0,4,0,37,0,7,0,37,0,0,0,1,23
Season 5 Episode 1,0,0,63,26,0,5,29,55,36,18,0,16,4,115,20,0,10,0,12,0,49,0,5,0,1,0,0,0,8,14
Season 5 Episode 2,0,0,27,2,0,0,12,51,9,5,0,3,13,58,3,0,0,0,3,0,14,0,1,0,0,0,0,0,3,5
Season 5 Episode 3,0,0,27,13,0,38,13,10,25,3,0,7,1,79,0,0,9,0,2,0,35,0,2,0,0,0,0,0,2,4
Season 5 Episode 4,0,0,21,8,0,0,7,36,9,5,0,23,0,77,0,5,8,0,0,0,31,0,2,0,0,0,14,0,1,5
Season 5 Episode 5,15,0,25,0,0,0,40,32,25,1,0,4,1,59,4,0,29,0,5,0,36,0,2,0,0,0,0,0,1,1
Season 5 Episode 6,0,0,104,6,0,0,26,0,30,0,0,0,0,63,6,0,1,0,23,0,85,0,0,0,0,0,0,0,0,2
Season 5 Episode 7,0,0,22,10,0,0,69,0,14,38,0,2,5,77,12,14,0,0,15,0,16,0,1,0,0,0,0,0,3,2
Season 5 Episode 8,0,0,31,2,0,0,6,0,26,3,0,3,2,90,18,11,0,0,10,0,38,0,2,0,29,0,0,0,0,2
Season 5 Episode 9,0,0,31,23,0,0,18,0,58,31,0,2,1,100,0,6,0,0,1,0,29,0,1,0,2,0,0,0,4,3
Season 5 Episode 10,0,0,26,12,0,0,7,0,6,5,0,19,36,65,0,0,6,0,1,0,27,0,1,0,15,0,0,0,4,3
Season 5 Episode 11,0,0,34,22,0,0,65,0,9,10,0,3,6,52,0,8,0,0,2,0,66,0,2,0,0,0,0,0,2,8
Season 5 Episode 12,0,0,14,3,0,0,5,0,5,3,0,4,2,90,0,9,0,0,2,0,73,0,1,0,0,0,0,0,5,14
Season 5 Episode 13,0,0,35,16,0,0,23,0,32,11,0,11,3,117,0,10,6,0,3,0,73,0,4,0,0,0,0,0,28,8
Season 5 Episode 14,0,0,34,0,0,0,27,0,35,1,0,3,0,55,0,0,0,0,8,0,25,0,5,0,0,0,0,20,7,0
Season 5 Episode 15,0,0,33,18,0,0,0,0,38,13,0,1,9,50,0,0,0,0,18,0,33,0,2,0,0,0,0,2,2,17
Season 5 Episode 16,0,0,34,4,0,0,0,0,32,14,0,10,3,86,0,0,0,0,9,0,31,0,0,0,0,0,0,0,2,15
Season 5 Episode 17,0,0,39,0,0,0,12,0,24,7,0,0,0,113,0,25,3,0,0,0,71,0,2,0,0,0,0,0,1,10
Season 5 Episode 18,0,0,30,8,0,0,4,0,14,1,0,3,0,104,0,18,0,0,7,0,21,0,0,66,0,0,0,0,2,5
Season 5 Episode 19,0,0,26,6,0,0,14,0,38,12,0,3,2,88,0,0,0,0,6,0,12,0,1,25,1,0,0,0,7,13
Season 5 Episode 20,0,0,35,3,0,0,16,0,65,1,0,2,0,78,11,0,0,0,1,0,17,0,1,40,0,0,0,0,4,10
Season 5 Episode 21,0,0,28,0,0,0,18,0,45,5,0,1,1,46,25,0,0,0,5,0,27,0,2,25,3,16,0,0,3,2
Season 5 Episode 22,0,0,22,0,0,0,25,0,15,0,0,5,0,90,6,0,0,0,1,0,83,0,0,14,0,0,0,0,1,1
Season 5 Episode 23,0,0,30,2,0,0,3,0,33,0,0,1,0,76,24,37,0,0,2,0,25,0,0,39,0,1,0,0,1,1
Season 5 Episode 24,0,0,29,5,0,0,11,0,29,5,0,12,8,91,24,0,1,0,2,0,45,0,9,0,13,10,0,0,11,1
Season 5 Episode 25,0,0,17,17,0,0,16,0,19,5,0,25,1,84,2,0,0,0,11,0,28,0,3,0,0,23,0,0,1,7
Season 5 Episode 26,0,0,24,3,0,0,12,38,25,2,0,4,2,55,0,13,0,0,0,0,41,0,0,12,2,3,0,0,2,5
Season 6 Episode 1,0,0,42,5,0,0,38,0,27,10,0,7,4,95,1,0,0,0,9,0,20,0,6,0,1,7,0,0,12,14
Season 6 Episode 2,0,0,19,3,0,0,7,0,24,7,0,2,6,72,5,34,15,0,3,0,31,0,4,0,26,3,0,0,2,1
Season 6 Episode 3,0,0,91,5,0,0,3,0,18,12,0,13,9,86,5,6,0,0,4,0,29,0,3,0,0,3,0,0,3,14
Season 6 Episode 4,6,0,35,9,0,0,19,0,36,5,0,1,2,95,2,0,0,0,3,0,55,0,0,0,1,6,0,0,4,17
Season 6 Episode 5,0,0,21,3,0,0,14,0,34,4,0,2,4,34,1,0,0,0,0,0,29,0,0,0,3,4,0,0,3,13
Season 6 Episode 6,0,0,14,0,0,0,57,0,5,18,0,1,3,122,4,0,0,0,0,0,50,0,1,0,3,7,0,0,0,17
Season 6 Episode 7,0,0,60,5,0,0,9,0,60,6,0,2,4,85,8,0,0,0,10,0,30,0,1,0,15,12,0,0,1,6
Season 6 Episode 8,0,0,49,10,0,0,37,0,38,11,0,9,8,85,1,0,7,0,2,0,14,0,3,0,0,17,0,0,3,10
Season 6 Episode 9,0,0,26,2,0,0,28,0,70,3,0,2,1,114,8,0,0,0,5,0,50,0,2,0,7,3,0,0,1,6
Season 6 Episode 10,0,0,47,6,0,0,24,0,12,8,0,5,4,67,1,4,0,0,1,0,30,0,2,0,0,15,0,0,6,11
Season 6 Episode 11,0,0,37,0,0,0,14,0,12,18,0,7,1,71,18,14,0,0,0,0,26,0,1,0,0,3,0,0,4,4
Season 6 Episode 12,0,0,38,3,0,0,22,0,14,2,0,4,0,68,4,9,0,0,1,0,36,0,1,0,0,21,0,0,2,6
Season 6 Episode 13,0,0,39,6,0,0,16,0,16,13,0,27,3,95,8,19,0,0,3,0,37,0,2,0,6,11,0,0,5,13
Season 6 Episode 14,0,0,0,2,0,0,1,0,5,0,0,0,0,44,1,0,0,0,0,0,17,0,0,0,18,0,0,0,0,2
Season 6 Episode 15,0,0,26,2,0,0,10,0,25,5,8,1,2,82,0,34,0,0,0,18,9,0,1,0,2,6,0,0,1,1
Season 6 Episode 16,0,0,33,1,0,0,24,0,5,6,33,4,4,68,19,0,0,0,11,5,39,0,0,0,0,23,0,0,0,5
Season 6 Episode 17,0,0,66,14,0,0,8,0,66,2,0,3,3,71,1,0,0,0,2,0,34,0,1,0,1,7,0,0,2,9
Season 6 Episode 18,0,0,68,5,0,0,17,0,60,1,0,3,3,45,1,0,0,0,1,0,13,13,0,0,0,28,0,0,1,20
Season 6 Episode 19,0,0,40,3,0,0,24,0,1,4,53,1,4,52,3,0,0,0,3,3,29,0,0,0,0,20,0,0,1,3
Season 6 Episode 20,0,0,51,6,0,0,15,0,3,1,0,18,3,85,3,0,9,0,8,7,43,0,0,0,2,7,0,0,11,8
Season 6 Episode 21,0,0,33,17,0,0,35,0,31,20,0,6,1,74,5,0,10,0,4,0,34,0,1,0,0,16,0,0,1,7
Season 6 Episode 22,0,0,8,5,0,0,25,0,28,6,0,3,9,46,5,0,3,0,5,23,17,0,0,0,3,52,0,0,0,20
Season 6 Episode 23,0,0,37,3,0,0,3,0,27,9,0,4,0,86,4,0,4,0,28,15,45,0,1,0,0,9,0,0,2,8
Season 6 Episode 24,0,0,14,0,0,0,30,0,42,1,0,0,1,90,4,0,26,0,7,4,38,0,2,0,0,3,0,0,3,0
Season 6 Episode 25,0,0,21,17,0,0,41,0,30,3,0,8,3,82,11,0,4,0,5,6,36,0,4,0,5,11,0,0,2,6
Season 6 Episode 26,0,0,13,4,0,0,17,0,17,2,43,5,0,67,2,1,6,0,5,5,19,0,2,0,7,4,0,0,2,7
Season 7 Episode 1,0,0,22,3,0,0,16,0,25,8,7,7,3,58,3,0,5,0,5,11,21,0,4,0,3,7,0,0,5,5
Season 7 Episode 2,0,0,34,4,0,0,13,0,39,7,0,3,0,31,3,0,4,0,6,17,48,0,1,0,35,4,0,0,3,0
Season 7 Episode 3,0,0,19,16,0,0,49,0,17,1,0,4,1,43,0,0,11,0,2,0,17,0,2,0,0,19,0,0,2,0
Season 7 Episode 4,0,0,4,2,0,16,40,16,8,7,0,5,7,87,1,0,8,0,5,3,41,0,2,0,0,4,0,0,4,10
Season 7 Episode 5,0,0,59,2,0,0,38,0,10,16,0,8,15,85,3,0,23,0,3,0,56,0,2,0,0,2,0,0,5,12
Season 7 Episode 6,0,0,27,5,0,0,16,0,24,8,0,5,1,59,6,0,26,0,5,14,14,0,3,0,4,7,0,0,7,19
Season 7 Episode 7,0,0,38,8,0,0,25,0,33,2,0,5,0,74,6,0,2,0,2,2,16,0,0,0,3,9,0,0,3,4
Season 7 Episode 8,0,0,18,9,0,0,27,0,23,7,0,12,0,56,3,0,0,0,13,18,26,0,4,0,0,42,0,0,1,9
Season 7 Episode 9,0,0,24,20,0,0,10,0,28,5,4,1,0,66,54,0,0,0,5,8,24,0,3,0,0,7,0,0,7,9
Season 7 Episode 10,0,0,27,3,0,0,23,0,46,25,0,3,2,56,7,0,13,0,8,1,48,0,2,0,0,10,0,0,6,8
Season 7 Episode 11,0,5,50,26,0,0,28,50,69,12,0,13,10,130,11,0,23,0,14,6,38,0,4,0,25,18,0,0,5,15
Season 7 Episode 12,0,0,8,7,0,0,21,19,31,3,0,9,1,75,6,0,21,0,10,2,34,0,13,0,0,21,0,0,0,19
Season 7 Episode 13,0,0,24,0,0,0,51,12,18,14,0,3,0,37,8,12,3,0,12,7,19,0,2,0,0,25,0,0,2,9
Season 7 Episode 14,0,0,32,1,0,0,14,30,36,12,0,10,3,42,6,0,8,0,9,25,26,0,0,0,0,14,0,0,3,7
Season 7 Episode 15,0,0,23,9,0,0,37,38,24,17,0,3,1,73,6,0,16,0,1,21,24,0,1,0,0,38,0,0,1,13
Season 7 Episode 16,0,0,6,0,0,4,2,15,8,2,0,0,0,75,2,0,0,0,1,0,4,0,1,0,0,1,0,2,0,4
Season 7 Episode 17,0,0,37,1,0,0,29,32,36,1,0,1,3,56,4,0,0,0,3,1,41,0,0,0,0,10,0,0,1,13
Season 7 Episode 18,0,0,24,1,0,0,17,47,32,7,0,3,3,72,9,0,10,0,3,1,31,0,0,0,0,0,0,0,1,18
Season 7 Episode 19,0,0,10,4,0,0,12,0,8,5,0,2,1,68,2,0,8,81,5,4,10,0,0,0,0,10,0,0,3,4
Season 7 Episode 20,0,0,23,1,0,0,4,0,15,6,0,2,6,79,6,0,3,0,0,2,13,0,1,0,2,12,0,0,3,6
Season 7 Episode 21,0,0,18,12,0,0,24,6,20,6,0,18,6,116,3,0,3,0,3,10,16,0,2,0,5,12,0,0,7,11
Season 7 Episode 22,0,0,40,4,0,0,9,0,24,2,0,4,0,0,15,0,8,90,15,8,20,0,0,0,1,3,0,0,0,13
Season 7 Episode 23,0,0,28,11,0,0,26,0,11,4,14,5,1,0,2,0,5,0,6,20,74,0,2,0,6,13,0,0,2,20
Season 7 Episode 24,0,12,90,11,9,0,26,0,32,22,28,20,6,0,11,0,27,0,17,30,44,0,17,0,13,23,0,0,4,14
Season 8 Episode 1,0,29,33,6,0,0,50,0,23,4,0,10,5,0,1,0,4,0,5,0,28,0,0,0,1,9,0,0,8,8
Season 8 Episode 2,0,24,39,14,0,0,72,0,33,7,0,7,5,0,4,0,7,0,3,0,21,0,0,0,0,12,0,0,5,24
Season 8 Episode 3,0,0,43,3,0,0,63,0,23,18,0,6,4,0,5,0,49,0,6,0,31,0,1,0,1,8,0,0,0,14
Season 8 Episode 4,0,18,22,7,0,0,61,0,10,9,0,3,5,0,7,0,9,0,3,4,26,0,0,0,6,5,0,0,1,4
Season 8 Episode 5,0,28,25,4,0,0,34,0,24,7,0,7,4,0,3,0,9,0,12,9,18,0,3,0,7,36,0,0,3,9
Season 8 Episode 6,0,31,36,7,0,0,48,0,17,11,0,2,0,0,3,0,15,0,5,22,48,0,0,0,8,8,0,0,7,10
Season 8 Episode 7,0,10,40,0,0,0,42,0,65,4,0,2,0,0,6,0,23,0,6,2,55,0,2,0,4,13,0,0,0,15
Season 8 Episode 8,0,22,16,1,0,0,45,0,18,18,0,6,1,0,11,0,11,0,4,10,26,0,0,0,0,13,0,0,4,15
Season 8 Episode 9,0,38,26,2,0,0,57,0,0,11,0,3,0,0,3,0,24,0,1,2,48,0,2,0,3,7,0,0,0,2
Season 8 Episode 10,0,19,40,2,0,0,75,0,0,9,0,7,14,0,6,0,10,0,10,0,23,0,2,0,6,37,0,0,5,9
Season 8 Episode 11,0,16,17,1,0,0,36,0,0,17,0,3,6,0,6,0,10,0,2,21,34,0,1,0,0,5,0,0,4,15
Season 8 Episode 12,0,23,21,4,0,0,38,0,0,11,0,2,9,0,8,0,9,0,6,7,37,0,0,0,7,48,0,0,7,11
Season 8 Episode 13,0,0,59,31,0,0,41,0,24,24,0,11,2,0,2,0,5,0,2,5,57,0,4,0,5,12,0,0,4,12
Season 8 Episode 14,0,0,30,8,0,0,45,0,29,4,0,2,2,0,12,0,23,0,8,0,67,0,1,0,2,15,0,0,7,5
Season 8 Episode 15,0,0,32,0,27,0,22,0,10,1,0,0,2,0,9,0,4,0,3,0,63,0,2,0,0,21,0,0,13,2
Season 8 Episode 16,0,0,55,11,24,0,20,0,15,10,0,4,0,0,20,0,14,0,8,6,60,0,0,0,0,19,0,0,6,4
Season 8 Episode 17,0,0,28,9,19,0,28,0,10,6,0,2,3,0,17,0,4,0,9,0,53,0,1,0,18,10,0,0,1,8
Season 8 Episode 18,0,0,45,3,12,0,20,0,10,4,0,6,1,0,2,0,26,0,3,1,45,0,2,0,16,15,0,0,2,19
Season 8 Episode 19,0,24,38,1,42,0,33,0,17,1,0,4,2,0,1,0,7,0,1,0,21,0,1,0,3,32,0,0,1,8
Season 8 Episode 20,0,19,39,8,22,0,48,0,32,11,0,9,0,0,3,0,1,0,0,2,22,0,3,0,0,25,0,0,1,3
Season 8 Episode 21,0,18,19,7,36,0,53,0,29,7,0,10,1,0,30,0,5,0,13,4,16,0,2,0,1,24,0,0,1,9
Season 8 Episode 22,0,13,24,4,17,0,41,0,22,16,0,1,2,0,17,5,14,0,0,0,15,0,1,0,0,7,0,0,1,18
Season 8 Episode 23,0,33,48,3,15,0,28,0,23,1,0,1,0,0,0,4,0,0,0,13,56,0,1,0,7,8,0,0,1,1
Season 8 Episode 24,0,15,31,20,19,0,49,0,22,11,0,5,2,0,0,17,15,0,4,2,27,0,1,0,5,9,0,0,1,3
Season 9 Episode 1,13,0,21,16,10,0,33,0,19,9,0,1,2,0,1,1,3,0,2,0,42,22,1,0,11,4,0,0,3,7
Season 9 Episode 2,16,0,39,7,31,0,33,0,34,5,0,1,1,0,0,0,11,0,0,0,31,22,4,0,5,31,11,0,1,10
Season 9 Episode 3,5,0,19,2,34,0,44,0,34,7,0,3,1,0,0,0,31,0,0,0,24,4,0,0,0,21,0,0,2,3
Season 9 Episode 4,2,0,60,5,27,0,43,0,29,14,0,5,7,0,0,0,11,0,0,0,40,12,3,0,2,11,0,0,10,17
Season 9 Episode 5,2,0,35,6,21,0,50,0,32,3,0,0,5,0,0,0,6,0,0,0,39,5,3,0,5,24,0,0,2,2
Season 9 Episode 6,10,0,9,12,16,0,54,0,11,27,0,0,3,0,0,7,4,0,0,0,34,0,1,0,9,40,0,0,0,25
Season 9 Episode 7,9,0,22,21,6,25,9,0,45,21,0,14,4,0,0,6,3,0,0,0,52,4,1,0,5,18,0,0,0,3
Season 9 Episode 8,23,0,29,52,9,0,0,0,17,22,0,12,8,0,0,3,6,0,0,0,57,0,3,0,8,6,0,0,14,16
Season 9 Episode 9,22,0,58,11,11,0,0,0,32,7,0,10,5,0,0,0,17,0,0,0,59,0,2,0,11,24,0,0,5,13
Season 9 Episode 10,7,0,28,16,9,0,0,0,44,10,0,8,22,0,0,0,15,0,0,0,18,0,4,0,0,26,0,0,4,14
Season 9 Episode 11,2,0,18,13,9,0,0,0,23,19,0,6,6,0,0,0,19,0,0,0,41,35,3,0,0,11,0,0,4,19
Season 9 Episode 12,12,0,37,6,24,0,0,0,48,8,0,3,2,0,0,0,24,0,0,0,44,1,2,0,7,18,0,0,1,10
Season 9 Episode 13,0,0,45,1,3,0,0,0,24,2,0,0,5,0,0,9,2,0,0,0,87,33,0,0,0,2,0,0,2,1
Season 9 Episode 14,0,0,30,15,9,0,0,0,57,12,0,1,1,0,0,0,35,0,0,0,37,4,1,0,3,10,0,0,0,6
Season 9 Episode 15,8,0,26,4,7,8,62,0,28,7,0,6,2,0,0,10,3,0,0,0,32,9,0,0,0,26,0,0,1,6
Season 9 Episode 16,41,0,28,42,8,0,83,0,55,8,0,10,7,0,0,16,5,0,0,20,44,9,4,0,15,33,0,0,5,5
Season 9 Episode 17,0,0,6,8,2,0,5,0,21,11,0,8,3,0,0,0,1,0,0,0,51,5,3,0,0,4,0,0,2,12
Season 9 Episode 18,2,0,31,32,4,0,11,0,42,29,0,6,3,0,0,0,12,0,0,0,37,23,0,0,2,3,0,0,5,9
Season 9 Episode 19,2,7,15,4,13,0,31,0,9,7,0,5,2,0,0,0,0,0,0,0,61,37,2,0,15,10,0,0,21,5
Season 9 Episode 20,4,2,17,15,19,0,39,0,22,2,0,0,0,0,0,0,10,0,0,0,21,6,1,0,7,16,0,0,2,10
Season 9 Episode 21,5,0,63,30,5,0,68,0,30,19,0,4,1,0,0,37,11,0,0,0,54,8,2,0,7,9,0,0,4,13
Season 9 Episode 22,4,0,89,39,0,0,44,0,34,28,0,7,9,0,0,0,30,0,0,0,87,5,4,0,0,22,0,0,4,30
Season 9 Episode 23,3,0,73,23,9,0,29,0,45,17,0,17,14,2,15,2,19,0,12,0,76,3,8,0,13,11,0,0,8,31
